Internal code for this file,Country Code,Country name,Year,Gas/Scope,CRF code,Description as in CRF,Sector_code,Sector_name,Colum,Row,Unit,Emissions - MS [kt],Emissions - EEA [kt],Emissions with notation key [kt],Emissions,Notation key,Source,Description test,Check,Manually,Final check
AT_2023_CO2_Total_net,AT,Austria,2023,CO2,Total_net,Total (net emissions)(1),,,B,7,Gg CO2 equivalent,52355.24729,52355.26748,"52,355.27",52355.27,,EEA,Total (net emissions)(1),TRUE,,TRUE
AT_2023_CO2_1,AT,Austria,2023,CO2,1,1. Energy,1,1 - Energy,B,8,Gg CO2 equivalent,43363.22394,43363.22398,"43,363.22",43363.22,,EEA,1. Energy,TRUE,,TRUE
AT_2023_CO2_1A,AT,Austria,2023,CO2,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,B,9,Gg CO2 equivalent,43282.98388,43282.98388,"43,282.98",43282.98,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
AT_2023_CO2_1A1,AT,Austria,2023,CO2,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,B,10,Gg CO2 equivalent,7422.42509,7422.42509,"7,422.43",7422.43,,MS data,1.  Energy industries,TRUE,,TRUE
AT_2023_CO2_1A2,AT,Austria,2023,CO2,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,B,11,Gg CO2 equivalent,9825.98899,9825.98899,"9,825.99",9825.99,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
AT_2023_CO2_1A3,AT,Austria,2023,CO2,1A3,3.  Transport,1.A.3,1.A.3 - Transport,B,12,Gg CO2 equivalent,19566.01299,19566.01299,"19,566.01",19566.01,,MS data,3.  Transport (3),FALSE,1,TRUE
AT_2023_CO2_1A4,AT,Austria,2023,CO2,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,B,13,Gg CO2 equivalent,6441.45342,6441.45342,"6,441.45",6441.45,,MS data,4.  Other sectors,TRUE,,TRUE
AT_2023_CO2_1A5,AT,Austria,2023,CO2,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,B,14,Gg CO2 equivalent,27.10339,27.10339,27.1,27.10,,MS data,5.  Other,TRUE,,TRUE
AT_2023_CO2_1B,AT,Austria,2023,CO2,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,B,15,Gg CO2 equivalent,80.24006,80.2401,80.24,80.24,,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
AT_2023_CO2_1B1,AT,Austria,2023,CO2,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,B,16,Gg CO2 equivalent,0,0,0,0.00,,MS data,1.  Solid fuels,TRUE,,TRUE
AT_2023_CO2_1B2,AT,Austria,2023,CO2,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,B,17,Gg CO2 equivalent,80.24006,80.2401,80.24,80.24,,EEA,2.  Oil and natural gas,TRUE,,TRUE
AT_2023_CO2_1C,AT,Austria,2023,CO2,1C,C. CO2 transport and storage,1.C,1.C - CO2 Transport and Storage,B,18,Gg CO2 equivalent,0,NO,NO,,NO,EEA,C. CO2 transport and storage,TRUE,,TRUE
AT_2023_CO2_2,AT,Austria,2023,CO2,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,B,19,Gg CO2 equivalent,13463.41317,13463.432,"13,463.43",13463.43,,EEA,2.  Industrial processes and product use,TRUE,,TRUE
AT_2023_CO2_2A,AT,Austria,2023,CO2,2A,A.  Mineral industry,2.A,2.A - Mineral Industry,B,20,Gg CO2 equivalent,2577.20247,2577.2,"2,577.20",2577.20,,EEA,A.  Mineral industry,TRUE,,TRUE
AT_2023_CO2_2B,AT,Austria,2023,CO2,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,B,21,Gg CO2 equivalent,599.54583,599.546,599.55,599.55,,EEA,B.  Chemical industry,TRUE,,TRUE
AT_2023_CO2_2C,AT,Austria,2023,CO2,2C,C.  Metal industry,2.C,2.C - Metal Industry,B,22,Gg CO2 equivalent,10114.17919,10114.2,"10,114.20",10114.20,,EEA,C.  Metal industry,TRUE,,TRUE
AT_2023_CO2_2D,AT,Austria,2023,CO2,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,B,23,Gg CO2 equivalent,172.48568,172.486,172.49,172.49,,EEA,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
AT_2023_CO2_2G,AT,Austria,2023,CO2,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,B,26,Gg CO2 equivalent,0,NO,NO,,NO,EEA,G.  Other product manufacture and use ,TRUE,,TRUE
AT_2023_CO2_2H,AT,Austria,2023,CO2,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,B,27,Gg CO2 equivalent,0,NA,NA,,NA,EEA,H.  Other ,TRUE,,TRUE
AT_2023_CO2_3,AT,Austria,2023,CO2,3,3.  Agriculture,3,3 - Agriculture,B,28,Gg CO2 equivalent,155.21758,155.2176,155.22,155.22,,EEA,3.  Agriculture,TRUE,,TRUE
AT_2023_CO2_3G,AT,Austria,2023,CO2,3G,G. Liming,3.G,3.G - Liming,B,35,Gg CO2 equivalent,95.28778,95.2878,95.29,95.29,,EEA,G. Liming,TRUE,,TRUE
AT_2023_CO2_3H,AT,Austria,2023,CO2,3H,H. Urea application,3.H,3.H - Urea Application,B,36,Gg CO2 equivalent,35.50263,35.5026,35.5,35.50,,EEA,H. Urea application,TRUE,,TRUE
AT_2023_CO2_3I,AT,Austria,2023,CO2,3I,I.  Other carbon-containing fertilizers,3.I,3.I - Other Carbon-containing Fertilizers,B,37,Gg CO2 equivalent,24.42717,24.4272,24.43,24.43,,EEA,I.  Other carbon-containing fertilizers,TRUE,,TRUE
AT_2023_CO2_3J,AT,Austria,2023,CO2,3J,J.  Other ,3.J,3.J - Other agriculture emissions,B,38,Gg CO2 equivalent,0,NA,NA,,NA,EEA,J.  Other ,TRUE,,TRUE
AT_2023_CO2_4,AT,Austria,2023,CO2,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",B,39,Gg CO2 equivalent,-4628.6594,-4628.6581,"-4,628.66",-4628.66,,EEA,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
AT_2023_CO2_4A,AT,Austria,2023,CO2,4A,A. Forest land,4.A,4.A - Forest Land,B,40,Gg CO2 equivalent,-4612.40095,-4612.4,"-4,612.40",-4612.40,,EEA,A. Forest land,TRUE,,TRUE
AT_2023_CO2_4B,AT,Austria,2023,CO2,4B,B. Cropland,4.B,4.B - Cropland,B,41,Gg CO2 equivalent,317.4563,317.456,317.46,317.46,,EEA,B. Cropland,TRUE,,TRUE
AT_2023_CO2_4C,AT,Austria,2023,CO2,4C,C. Grassland,4.C,4.C - Grassland,B,42,Gg CO2 equivalent,443.82429,443.824,443.82,443.82,,EEA,C. Grassland,TRUE,,TRUE
AT_2023_CO2_4D,AT,Austria,2023,CO2,4D,D. Wetlands,4.D,4.D - Wetlands,B,43,Gg CO2 equivalent,69.92386,69.9239,69.92,69.92,,EEA,D. Wetlands,TRUE,,TRUE
AT_2023_CO2_4E,AT,Austria,2023,CO2,4E,E. Settlements ,4.E,4.E - Settlements,B,44,Gg CO2 equivalent,745.56048,745.56,745.56,745.56,,EEA,E. Settlements ,TRUE,,TRUE
AT_2023_CO2_4F,AT,Austria,2023,CO2,4F,F. Other land,4.F,4.F - Other Land,B,45,Gg CO2 equivalent,516.89793,516.898,516.9,516.90,,EEA,F. Other land,TRUE,,TRUE
AT_2023_CO2_4G,AT,Austria,2023,CO2,4G,G. Harvested wood products,4.G,4.G - Harvested Wood Products,B,46,Gg CO2 equivalent,-2109.92131,-2109.92,"-2,109.92",-2109.92,,EEA,G. Harvested wood products,TRUE,,TRUE
AT_2023_CO2_4H,AT,Austria,2023,CO2,4H,H. Other       ,4.H,4.H - Other LULUCF,B,47,Gg CO2 equivalent,0,NO,NO,,NO,EEA,H. Other       ,TRUE,,TRUE
AT_2023_CO2_5,AT,Austria,2023,CO2,5,5.  Waste,5,5 - Waste management,B,48,Gg CO2 equivalent,2.052,2.052,2.05,2.05,,MS data,5.  Waste,TRUE,,TRUE
AT_2023_CO2_5A,AT,Austria,2023,CO2,5A,A.  Solid waste disposal ,5.A,5.A - Solid Waste Disposal,B,49,Gg CO2 equivalent,0,NO,NO,,NO,EEA,A.  Solid waste disposal ,FALSE,,FALSE
AT_2023_CO2_5C,AT,Austria,2023,CO2,5C,C.  Incineration and open burning of waste,5.C,5.C - Incineration and Open Burning of Waste,B,51,Gg CO2 equivalent,2.052,2.052,2.05,2.05,,MS data,C.  Incineration and open burning of waste,TRUE,,TRUE
AT_2023_CO2_5E,AT,Austria,2023,CO2,5E,E.  Other ,5.E,5.E - Other Disposal,B,53,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Other ,FALSE,,FALSE
AT_2023_CO2_6,AT,Austria,2023,CO2,6,6.  Other (as specified in summary 1.A),6,6 - Other Sector,B,54,Gg CO2 equivalent,0,NO,NO,,NO,EEA,6.  Other (as specified in summary 1.A),TRUE,,TRUE
AT_2023_CH4_Total_net,AT,Austria,2023,CH4,Total_net,Total (net emissions)(1),,,C,7,Gg CO2 equivalent,6416.06676,6416.07226,"6,416.07",6416.07,,EEA,Total (net emissions)(1),TRUE,,TRUE
AT_2023_CH4_1,AT,Austria,2023,CH4,1,1. Energy,1,1 - Energy,C,8,Gg CO2 equivalent,573.13129,573.13141,573.13,573.13,,EEA,1. Energy,TRUE,,TRUE
AT_2023_CH4_1A,AT,Austria,2023,CH4,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,C,9,Gg CO2 equivalent,342.54941,342.54941,342.55,342.55,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
AT_2023_CH4_1A1,AT,Austria,2023,CH4,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,C,10,Gg CO2 equivalent,27.62422,27.62422,27.62,27.62,,MS data,1.  Energy industries,TRUE,,TRUE
AT_2023_CH4_1A2,AT,Austria,2023,CH4,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,C,11,Gg CO2 equivalent,23.0717,23.0717,23.07,23.07,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
AT_2023_CH4_1A3,AT,Austria,2023,CH4,1A3,3.  Transport,1.A.3,1.A.3 - Transport,C,12,Gg CO2 equivalent,22.27883,22.27883,22.28,22.28,,MS data,3.  Transport (3),FALSE,1,TRUE
AT_2023_CH4_1A4,AT,Austria,2023,CH4,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,C,13,Gg CO2 equivalent,269.5505,269.5505,269.55,269.55,,MS data,4.  Other sectors,TRUE,,TRUE
AT_2023_CH4_1A5,AT,Austria,2023,CH4,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,C,14,Gg CO2 equivalent,0.02416,0.02416,0.02,0.02,,MS data,5.  Other,TRUE,,TRUE
AT_2023_CH4_1B,AT,Austria,2023,CH4,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,C,15,Gg CO2 equivalent,230.58188,230.582,230.58,230.58,,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
AT_2023_CH4_1B1,AT,Austria,2023,CH4,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,C,16,Gg CO2 equivalent,0,0,0,0.00,,MS data,1.  Solid fuels,TRUE,,TRUE
AT_2023_CH4_1B2,AT,Austria,2023,CH4,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,C,17,Gg CO2 equivalent,230.58188,230.582,230.58,230.58,,EEA,2.  Oil and natural gas,TRUE,,TRUE
AT_2023_CH4_2,AT,Austria,2023,CH4,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,C,19,Gg CO2 equivalent,60.4044,60.4044,60.4,60.40,,MS data,2.  Industrial processes and product use,TRUE,,TRUE
AT_2023_CH4_2B,AT,Austria,2023,CH4,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,C,21,Gg CO2 equivalent,55.0172,55.0172,55.02,55.02,,MS data,B.  Chemical industry,TRUE,,TRUE
AT_2023_CH4_2C,AT,Austria,2023,CH4,2C,C.  Metal industry,2.C,2.C - Metal Industry,C,22,Gg CO2 equivalent,5.3872,5.3872,5.39,5.39,,MS data,C.  Metal industry,TRUE,,TRUE
AT_2023_CH4_2D,AT,Austria,2023,CH4,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,C,23,Gg CO2 equivalent,0,NA,NA,,NA,EEA,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
AT_2023_CH4_2G,AT,Austria,2023,CH4,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,C,26,Gg CO2 equivalent,0,NO,NO,,NO,EEA,G.  Other product manufacture and use ,TRUE,,TRUE
AT_2023_CH4_2H,AT,Austria,2023,CH4,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,C,27,Gg CO2 equivalent,0,NA,NA,,NA,EEA,H.  Other ,TRUE,,TRUE
AT_2023_CH4_3,AT,Austria,2023,CH4,3,3.  Agriculture,3,3 - Agriculture,C,28,Gg CO2 equivalent,4855.92397,4855.929,"4,855.93",4855.93,,EEA,3.  Agriculture,TRUE,,TRUE
AT_2023_CH4_3A,AT,Austria,2023,CH4,3A,A.  Enteric fermentation,3.A,3.A - Enteric Fermentation,C,29,Gg CO2 equivalent,4235.88516,4235.89,"4,235.89",4235.89,,EEA,A.  Enteric fermentation,TRUE,,TRUE
AT_2023_CH4_3B,AT,Austria,2023,CH4,3B,B.  Manure management,3.B,3.B - Manure Management,C,30,Gg CO2 equivalent,620.03881,620.039,620.04,620.04,,EEA,B.  Manure management,TRUE,,TRUE
AT_2023_CH4_3C,AT,Austria,2023,CH4,3C,C.  Rice cultivation,3.C,3.C - Rice Cultivation,C,31,Gg CO2 equivalent,0,NO,NO,,NO,EEA,C.  Rice cultivation,TRUE,,TRUE
AT_2023_CH4_3D,AT,Austria,2023,CH4,3D,D.  Agricultural soils,3.D,3.D - Agricultural Soils,C,32,Gg CO2 equivalent,0,NA,NA,,NA,EEA,D.  Agricultural soils,TRUE,,TRUE
AT_2023_CH4_3E,AT,Austria,2023,CH4,3E,E.  Prescribed burning of savannas,3.E,3.E - Prescribed Burning of Savannas,C,33,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Prescribed burning of savannas,TRUE,,TRUE
AT_2023_CH4_3F,AT,Austria,2023,CH4,3F,F.  Field burning of agricultural residues,3.F,3.F - Field Burning of Agricultural Residues,C,34,Gg CO2 equivalent,0,NO,NO,,NO,EEA,F.  Field burning of agricultural residues,TRUE,,TRUE
AT_2023_CH4_3J,AT,Austria,2023,CH4,3J,J.  Other ,3.J,3.J - Other agriculture emissions,C,38,Gg CO2 equivalent,0,NA,NA,,NA,EEA,J.  Other ,TRUE,,TRUE
AT_2023_CH4_4,AT,Austria,2023,CH4,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",C,39,Gg CO2 equivalent,27.38228,27.38231,27.38,27.38,,EEA,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
AT_2023_CH4_4A,AT,Austria,2023,CH4,4A,A. Forest land,4.A,4.A - Forest Land,C,40,Gg CO2 equivalent,0.70353,0.70353,0.7,0.70,,MS data,A. Forest land,TRUE,,TRUE
AT_2023_CH4_4B,AT,Austria,2023,CH4,4B,B. Cropland,4.B,4.B - Cropland,C,41,Gg CO2 equivalent,0,0,0,0.00,,MS data,B. Cropland,TRUE,,TRUE
AT_2023_CH4_4C,AT,Austria,2023,CH4,4C,C. Grassland,4.C,4.C - Grassland,C,42,Gg CO2 equivalent,26.64717,26.6472,26.65,26.65,,EEA,C. Grassland,TRUE,,TRUE
AT_2023_CH4_4D,AT,Austria,2023,CH4,4D,D. Wetlands,4.D,4.D - Wetlands,C,43,Gg CO2 equivalent,0.03158,0.03158,0.03,0.03,,MS data,D. Wetlands,TRUE,,TRUE
AT_2023_CH4_4E,AT,Austria,2023,CH4,4E,E. Settlements ,4.E,4.E - Settlements,C,44,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E. Settlements ,TRUE,,TRUE
AT_2023_CH4_4F,AT,Austria,2023,CH4,4F,F. Other land,4.F,4.F - Other Land,C,45,Gg CO2 equivalent,0,NO,NO,,NO,EEA,F. Other land,TRUE,,TRUE
AT_2023_CH4_4H,AT,Austria,2023,CH4,4H,H. Other       ,4.H,4.H - Other LULUCF,C,47,Gg CO2 equivalent,0,NO,NO,,NO,EEA,H. Other       ,TRUE,,TRUE
AT_2023_CH4_5,AT,Austria,2023,CH4,5,5.  Waste,5,5 - Waste management,C,48,Gg CO2 equivalent,899.22482,899.22515,899.23,899.23,,EEA,5.  Waste,TRUE,,TRUE
AT_2023_CH4_5A,AT,Austria,2023,CH4,5A,A.  Solid waste disposal ,5.A,5.A - Solid Waste Disposal,C,49,Gg CO2 equivalent,799.43669,799.437,799.44,799.44,,EEA,A.  Solid waste disposal ,FALSE,,FALSE
AT_2023_CH4_5B,AT,Austria,2023,CH4,5B,B.  Biological treatment of solid waste,5.B,5.B - Biological Treatment of Solid Waste,C,50,Gg CO2 equivalent,75.49153,75.4915,75.49,75.49,,EEA,B.  Biological treatment of solid waste,TRUE,,TRUE
AT_2023_CH4_5C,AT,Austria,2023,CH4,5C,C.  Incineration and open burning of waste,5.C,5.C - Incineration and Open Burning of Waste,C,51,Gg CO2 equivalent,0.15745,0.15745,0.16,0.16,,MS data,C.  Incineration and open burning of waste,TRUE,,TRUE
AT_2023_CH4_5D,AT,Austria,2023,CH4,5D,D.  Waste water treatment and discharge,5.D,5.D - Wastewater Treatment and Discharge,C,52,Gg CO2 equivalent,24.13915,24.1392,24.14,24.14,,EEA,D.  Waste water treatment and discharge,TRUE,,TRUE
AT_2023_CH4_5E,AT,Austria,2023,CH4,5E,E.  Other ,5.E,5.E - Other Disposal,C,53,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Other ,FALSE,,FALSE
AT_2023_CH4_6,AT,Austria,2023,CH4,6,6.  Other (as specified in summary 1.A),6,6 - Other Sector,B,54,Gg CO2 equivalent,0,NO,NO,,NO,EEA,6.  Other (as specified in summary 1.A),TRUE,,TRUE
AT_2023_N2O_Total_net,AT,Austria,2023,N2O,Total_net,Total (net emissions)(1),,,D,7,Gg CO2 equivalent,3144.66778,3144.66654,"3,144.67",3144.67,,EEA,Total (net emissions)(1),TRUE,,TRUE
AT_2023_N2O_1,AT,Austria,2023,N2O,1,1. Energy,1,1 - Energy,D,8,Gg CO2 equivalent,551.01165,551.01165,551.01,551.01,,MS data,1. Energy,TRUE,,TRUE
AT_2023_N2O_1A,AT,Austria,2023,N2O,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,D,9,Gg CO2 equivalent,551.01165,551.01165,551.01,551.01,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
AT_2023_N2O_1A1,AT,Austria,2023,N2O,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,D,10,Gg CO2 equivalent,84.91677,84.91677,84.92,84.92,,MS data,1.  Energy industries,TRUE,,TRUE
AT_2023_N2O_1A2,AT,Austria,2023,N2O,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,D,11,Gg CO2 equivalent,118.60726,118.60726,118.61,118.61,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
AT_2023_N2O_1A3,AT,Austria,2023,N2O,1A3,3.  Transport,1.A.3,1.A.3 - Transport,D,12,Gg CO2 equivalent,222.05727,222.05727,222.06,222.06,,MS data,3.  Transport (3),FALSE,1,TRUE
AT_2023_N2O_1A4,AT,Austria,2023,N2O,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,D,13,Gg CO2 equivalent,124.93295,124.93295,124.93,124.93,,MS data,4.  Other sectors,TRUE,,TRUE
AT_2023_N2O_1A5,AT,Austria,2023,N2O,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,D,14,Gg CO2 equivalent,0.49741,0.49741,0.5,0.50,,MS data,5.  Other,TRUE,,TRUE
AT_2023_N2O_1B,AT,Austria,2023,N2O,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,D,15,Gg CO2 equivalent,0,NO,NO,,NO,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
AT_2023_N2O_1B1,AT,Austria,2023,N2O,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,D,16,Gg CO2 equivalent,0,0,0,0.00,,MS data,1.  Solid fuels,TRUE,,TRUE
AT_2023_N2O_1B2,AT,Austria,2023,N2O,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,D,17,Gg CO2 equivalent,0,0,0,0.00,,MS data,2.  Oil and natural gas,TRUE,,TRUE
AT_2023_N2O_2,AT,Austria,2023,N2O,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,D,19,Gg CO2 equivalent,59.32432,59.3243,59.32,59.32,,EEA,2.  Industrial processes and product use,TRUE,,TRUE
AT_2023_N2O_2B,AT,Austria,2023,N2O,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,D,21,Gg CO2 equivalent,27.26532,27.2653,27.27,27.27,,EEA,B.  Chemical industry,TRUE,,TRUE
AT_2023_N2O_2C,AT,Austria,2023,N2O,2C,C.  Metal industry,2.C,2.C - Metal Industry,D,22,Gg CO2 equivalent,0,NO,NO,,NO,EEA,C.  Metal industry,TRUE,,TRUE
AT_2023_N2O_2D,AT,Austria,2023,N2O,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,D,23,Gg CO2 equivalent,0,NA,NA,,NA,EEA,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
AT_2023_N2O_2G,AT,Austria,2023,N2O,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,D,26,Gg CO2 equivalent,32.059,32.059,32.06,32.06,,MS data,G.  Other product manufacture and use ,TRUE,,TRUE
AT_2023_N2O_2H,AT,Austria,2023,N2O,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,D,27,Gg CO2 equivalent,0,NA,NA,,NA,EEA,H.  Other ,TRUE,,TRUE
AT_2023_N2O_3,AT,Austria,2023,N2O,3,3.  Agriculture,3,3 - Agriculture,D,28,Gg CO2 equivalent,2179.70718,2179.706,"2,179.71",2179.71,,EEA,3.  Agriculture,TRUE,,TRUE
AT_2023_N2O_3B,AT,Austria,2023,N2O,3B,B.  Manure management,3.B,3.B - Manure Management,D,30,Gg CO2 equivalent,463.24552,463.246,463.25,463.25,,EEA,B.  Manure management,TRUE,,TRUE
AT_2023_N2O_3D,AT,Austria,2023,N2O,3D,D.  Agricultural soils,3.D,3.D - Agricultural Soils,D,32,Gg CO2 equivalent,1716.46166,1716.46,"1,716.46",1716.46,,EEA,D.  Agricultural soils,TRUE,,TRUE
AT_2023_N2O_3E,AT,Austria,2023,N2O,3E,E.  Prescribed burning of savannas,3.E,3.E - Prescribed Burning of Savannas,D,33,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Prescribed burning of savannas,TRUE,,TRUE
AT_2023_N2O_3F,AT,Austria,2023,N2O,3F,F.  Field burning of agricultural residues,3.F,3.F - Field Burning of Agricultural Residues,D,34,Gg CO2 equivalent,0,NO,NO,,NO,EEA,F.  Field burning of agricultural residues,TRUE,,TRUE
AT_2023_N2O_3J,AT,Austria,2023,N2O,3J,J.  Other ,3.J,3.J - Other agriculture emissions,D,38,Gg CO2 equivalent,0,NA,NA,,NA,EEA,J.  Other ,TRUE,,TRUE
AT_2023_N2O_4,AT,Austria,2023,N2O,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",D,39,Gg CO2 equivalent,127.44777,127.448,127.45,127.45,,EEA,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
AT_2023_N2O_4A,AT,Austria,2023,N2O,4A,A. Forest land,4.A,4.A - Forest Land,D,40,Gg CO2 equivalent,15.89941,15.8994,15.9,15.90,,EEA,A. Forest land,TRUE,,TRUE
AT_2023_N2O_4B,AT,Austria,2023,N2O,4B,B. Cropland,4.B,4.B - Cropland,D,41,Gg CO2 equivalent,20.73867,20.7387,20.74,20.74,,EEA,B. Cropland,TRUE,,TRUE
AT_2023_N2O_4C,AT,Austria,2023,N2O,4C,C. Grassland,4.C,4.C - Grassland,D,42,Gg CO2 equivalent,0.00147,0.00147,0,0.00,,MS data,C. Grassland,TRUE,,TRUE
AT_2023_N2O_4D,AT,Austria,2023,N2O,4D,D. Wetlands,4.D,4.D - Wetlands,D,43,Gg CO2 equivalent,0.00775,0.00775,0.01,0.01,,MS data,D. Wetlands,TRUE,,TRUE
AT_2023_N2O_4E,AT,Austria,2023,N2O,4E,E. Settlements ,4.E,4.E - Settlements,D,44,Gg CO2 equivalent,66.52133,66.5213,66.52,66.52,,EEA,E. Settlements ,TRUE,,TRUE
AT_2023_N2O_4F,AT,Austria,2023,N2O,4F,F. Other land,4.F,4.F - Other Land,D,45,Gg CO2 equivalent,11.31088,11.3109,11.31,11.31,,EEA,F. Other land,TRUE,,TRUE
AT_2023_N2O_4H,AT,Austria,2023,N2O,4H,H. Other       ,4.H,4.H - Other LULUCF,D,47,Gg CO2 equivalent,0,0,0,0.00,,MS data,H. Other       ,TRUE,,TRUE
AT_2023_N2O_5,AT,Austria,2023,N2O,5,5.  Waste,5,5 - Waste management,D,48,Gg CO2 equivalent,227.17686,227.17659,227.18,227.18,,EEA,5.  Waste,TRUE,,TRUE
AT_2023_N2O_5B,AT,Austria,2023,N2O,5B,B.  Biological treatment of solid waste,5.B,5.B - Biological Treatment of Solid Waste,D,50,Gg CO2 equivalent,72.62251,72.6225,72.62,72.62,,EEA,B.  Biological treatment of solid waste,TRUE,,TRUE
AT_2023_N2O_5C,AT,Austria,2023,N2O,5C,C.  Incineration and open burning of waste,5.C,5.C - Incineration and Open Burning of Waste,D,51,Gg CO2 equivalent,0.02009,0.02009,0.02,0.02,,MS data,C.  Incineration and open burning of waste,TRUE,,TRUE
AT_2023_N2O_5D,AT,Austria,2023,N2O,5D,D.  Waste water treatment and discharge,5.D,5.D - Wastewater Treatment and Discharge,D,52,Gg CO2 equivalent,154.53426,154.534,154.53,154.53,,EEA,D.  Waste water treatment and discharge,TRUE,,TRUE
AT_2023_N2O_5E,AT,Austria,2023,N2O,5E,E.  Other ,5.E,5.E - Other Disposal,D,53,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Other ,FALSE,,FALSE
AT_2023_N2O_6,AT,Austria,2023,N2O,6,6.  Other (as specified in summary 1.A),6,6 - Other Sector,B,54,Gg CO2 equivalent,0,NO,NO,,NO,EEA,6.  Other (as specified in summary 1.A),TRUE,,TRUE
AT_2023_HFCs_Total_net,AT,Austria,2023,HFCs,Total_net,Total (net emissions)(1),,,E,7,Gg CO2 equivalent,1358.67738,1358.67732,"1,358.68",1358.68,,EEA,Total (net emissions)(1),TRUE,,TRUE
AT_2023_HFCs_2,AT,Austria,2023,HFCs,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,E,19,Gg CO2 equivalent,1358.67738,1358.67732,"1,358.68",1358.68,,EEA,2.  Industrial processes and product use,TRUE,,TRUE
